ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent positive<br>(of people tested)
10001,Chelsea/NoMad/West Chelsea,Manhattan,415,1761.23,101.85,7.78
10002,Chinatown/Lower East Side,Manhattan,1214,1581.65,208.45,11
10003,East Village/Gramercy/Greenwich Village,Manhattan,504,936.77,63.2,5.92
10004,Financial District,Manhattan,36,986.14,27.39,6.36
10005,Financial District,Manhattan,76,905.18,23.82,5.71
10006,Financial District,Manhattan,35,1012.21,0,5.78
10007,TriBeCa,Manhattan,67,812.15,36.36,4.77
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,774,1317.49,117.45,7.94
10010,Flatiron/Gramercy/Kips Bay,Manhattan,304,939.09,58.69,5.19
10011,Chelsea,Manhattan,574,1159.58,86.87,6.47
10012,Greenwich Village/SoHo,Manhattan,187,779.78,37.53,5.36
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,298,1026.49,72.34,5.7
10014,Hudson Square/Meatpacking District/West Village,Manhattan,354,1140.35,93.42,5.97
10016,Kips Bay/Murray Hill/NoMad,Manhattan,780,1485.03,93.29,7.56
10017,East Midtown/Murray Hill,Manhattan,156,967.31,49.61,5.64
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,248,2601.92,52.46,8.55
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,655,1612.05,100.91,7.6
10021,Lenox Hill/Upper East Side,Manhattan,606,1371.8,147.14,6.99
10022,East Midtown,Manhattan,371,1223.02,98.9,6.33
10023,Lincoln Square,Manhattan,608,1008.71,89.59,5.87
10024,Upper West Side,Manhattan,783,1365.59,127.32,7.24
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1466,1587.72,188.45,7.75
10026,Central Harlem (South),Manhattan,703,1801.73,120.46,11.62
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1123,1764.86,177.59,11.12
10028,Upper East Side/Yorkville,Manhattan,504,1025.33,65.1,6.34
10029,East Harlem,Manhattan,1925,2441.61,267.63,14.02
10030,Central Harlem (North),Manhattan,545,1858.68,190.98,12.96
10031,Hamilton Heights/West Harlem,Manhattan,1433,2366.37,216.33,13.57
10032,Washington Heights (South),Manhattan,1662,2702.77,281.33,14.93
10033,Washington Heights (North)/Washington Heights (South),Manhattan,1447,2443.83,202.67,14.73
10034,Inwood/Washington Heights (North),Manhattan,784,1820.14,162.51,11.81
10035,East Harlem,Manhattan,1078,3131.29,389.23,15.7
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,481,1835.09,148.79,8.81
10037,Central Harlem (North)/East Harlem,Manhattan,553,2678.02,305.09,13.39
